workout_day,date,exercise,set_no,target_reps,recommended_kg,actual_kg,actual_reps,rir,note,created_at
Day_B,2026-05-13,Seated Row Machine,1,8,60,60,8,2,,2026-05-13T18:30:00.000Z
Day_B,2026-05-13,Seated Row Machine,2,8,60,60,8,2,,2026-05-13T18:30:00.000Z
Day_B,2026-05-13,Seated Row Machine,3,8,60,60,8,2,,2026-05-13T18:30:00.000Z
Day_B,2026-05-13,Lat Pulldown,1,8,55,55,8,1,,2026-05-13T18:30:00.000Z
Day_B,2026-05-13,Lat Pulldown,2,8,55,55,8,1,,2026-05-13T18:30:00.000Z
Day_B,2026-05-13,Lat Pulldown,3,8,55,55,8,1,,2026-05-13T18:30:00.000Z
Day_B,2026-05-13,RDL,1,8,20,20,8,1,,2026-05-13T18:30:00.000Z
Day_B,2026-05-13,RDL,2,8,20,20,8,1,,2026-05-13T18:30:00.000Z
Day_B,2026-05-13,Biceps Curl DB,1,10,12.5,12.5,10,1,,2026-05-13T18:30:00.000Z
Day_B,2026-05-13,Biceps Curl DB,2,10,12.5,12.5,10,1,,2026-05-13T18:30:00.000Z
