workout_day,date,exercise,set_no,target_reps,recommended_kg,actual_kg,actual_reps,rir,note,created_at
Day_B,2026-04-29,Seated Row Machine,1,8,55,55,8,2,,2026-04-29T18:30:00.000Z
Day_B,2026-04-29,Seated Row Machine,2,8,55,55,8,2,,2026-04-29T18:30:00.000Z
Day_B,2026-04-29,Seated Row Machine,3,8,55,55,8,2,,2026-04-29T18:30:00.000Z
Day_B,2026-04-29,Lat Pulldown,1,8,50,50,8,2,,2026-04-29T18:30:00.000Z
Day_B,2026-04-29,Lat Pulldown,2,8,50,50,8,2,,2026-04-29T18:30:00.000Z
Day_B,2026-04-29,Lat Pulldown,3,8,50,50,8,2,,2026-04-29T18:30:00.000Z
Day_B,2026-04-29,RDL,1,8,18,18,8,2,,2026-04-29T18:30:00.000Z
Day_B,2026-04-29,RDL,2,8,18,18,8,2,,2026-04-29T18:30:00.000Z
Day_B,2026-04-29,Biceps Curl DB,1,10,10,10,10,2,,2026-04-29T18:30:00.000Z
Day_B,2026-04-29,Biceps Curl DB,2,10,10,10,10,2,,2026-04-29T18:30:00.000Z
